categories,endDate,location,startDate,title
"[{'name': 'Junior', 'ages': ['-9', '-11']}]",31/12/2022,Coolum Tennis Club | Coolum,5/06/2022,2022 Sunshine Coast Junior Development Series Coloured Ball- Coolum
"[{'name': 'Junior', 'ages': ['-9', '-11']}, {'name': 'Junior', 'ages': ['-17']}]",31/12/2022,Noosa Tennis Club | Noosa,20/08/2022,2022 Sunshine Coast Development Series - Noosa 20 & 21 August
"[{'ages': ['Open'], 'name': None}]",9/12/2022,Tennis Queensland Far North Region | Cairns,18/11/2022,CTA Friday Fixtures Term 4
"[{'name': 'Junior', 'ages': ['Open']}]",11/12/2022,Elaine Caldana | West Lakes Shore,27/11/2022,2022-23 WDTA Junior Tournament
"[{'name': 'Junior', 'ages': []}, {'name': 'U18', 'ages': ['15-18']}]",10/12/2022,Tennis Australia | Melbourne,3/12/2022,2022 18u Australian Championships
"[{'name': 'Club Championship', 'ages': ['Open', '-10', '-16', '12+']}, {'name': 'Junior', 'ages': ['-10', '-16']}]",11/12/2022,Campbell Tennis Club | Canberra,4/12/2022,Campbell Tennis Club Championships 2022
"[{'name': 'Junior', 'ages': []}, {'name': 'U14', 'ages': ['10-14']}]",10/12/2022,Tennis Australia | Melbourne,5/12/2022,2022 14u Australian Invitational Masters
"[{'name': 'Club Championship', 'ages': ['Open']}]",12/12/2022,University of Queensland Tennis Club | Brisbane,5/12/2022,2022 UQ Tennis Club December Night Singles Fixtures
"[{'name': 'Club Championship', 'ages': ['-18']}]",9/12/2022,Canterbury Taipans | Waterford,8/12/2022,Canterbury Taipans Club Championships 2022
"[{'name': 'Hot Shots', 'ages': ['-18']}]",9/12/2022,East Fremantle Lawn Tennis Club | East Fremantle,9/12/2022,East Fremantle Hot Shots Challenge December 2022
"[{'name': 'Open', 'ages': []}, {'name': 'U12', 'ages': ['-12', '-14', '-16']}, {'name': 'U14', 'ages': ['-14']}, {'name': 'U16', 'ages': ['-16']}, {'name': 'U18', 'ages': ['-18']}, {'name': 'Open', 'ages': ['12+']}, {'name': 'Junior', 'ages': ['Open', '-10', '-12']}]",11/12/2022,Tennis ACT | Lyneham,9/12/2022,2022 ACT Residents Championships
"[{'name': 'Junior', 'ages': ['-10', '-14', '13+']}, {'name': 'U12', 'ages': ['-12']}, {'name': 'U14', 'ages': ['-14']}, {'name': 'U16', 'ages': ['-16']}, {'name': 'U18', 'ages': ['-18']}, {'name': 'Open', 'ages': ['13+']}]",11/12/2022,Bendigo TA | Bendigo,9/12/2022,2022 Bendigo Rising Sun Junior & Open Zone Series
"[{'name': 'Open', 'ages': ['13+']}, {'name': 'U12', 'ages': ['-12']}, {'name': 'U14', 'ages': ['-14']}, {'name': 'U16', 'ages': ['-16']}, {'name': 'U18', 'ages': ['-18']}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': ['-10']}]",11/12/2022,Elite Tennis Academy | Mornington,9/12/2022,"2022 MORNINGTON JUNIOR & OPEN (Dec #1) $3,000 Prizemoney"
"[{'name': 'Seniors', 'ages': ['30+', '35+', '40+', '45+', '50+', '55+', '60+', '65+', '70+', '75+', '80+', '85+']}]",11/12/2022,Tennis Seniors Victoria | Warrnambool,9/12/2022,202212 TSV NRT Warrnambool tournament
"[{'name': 'Open', 'ages': ['Open']}]",11/12/2022,Heathmont Parker Reserve Tennis Club | Melbourne,9/12/2022,2022-23 METT Summer Series #2
"[{'name': 'Open', 'ages': ['Open']}, {'name': 'Open', 'ages': ['Open']}]",11/12/2022,KDV Sport | Gold Coast,9/12/2022,Padel Gold Coast Australian Championships
"[{'name': 'Junior', 'ages': ['-13', '-15', '-17', '-19']}]",12/12/2022,Tennis Tasmania | Hobart,9/12/2022,2022 Tasmanian Junior State Championships
"[{'name': 'Other', 'ages': ['-9', '-11', '-13', '-15']}]",10/12/2022,Hume Tennis and Community Centre | Craigibeurn,10/12/2022,2022 Melbourne Junior Tennis Pathway Series - UTR Match Play #11
"[{'name': 'Intellectual Disability or Autism', 'ages': ['10+']}]",10/12/2022,NANDM Tennis Coaching | Melbourne,10/12/2022,NANDM TOURNAMENTS
"[{'name': 'Open', 'ages': ['13+']}]",11/12/2022,Royal Pacific Tennis | Woodville South,10/12/2022,2022 Adelaide Open
"[{'name': 'Open', 'ages': []}, {'name': 'U12', 'ages': ['-12']}, {'name': 'U14', 'ages': ['-14', '-16']}, {'name': 'U16', 'ages': ['-16']}, {'name': 'Open', 'ages': ['13+']}]",11/12/2022,Wagga Wagga Tennis Association | Wagga Wagga,10/12/2022,2022 City of Wagga Open
"[{'name': 'Club Championship', 'ages': ['-12', '-13', '-14', '-16', '-18']}]",11/12/2022,Blue Gum Park Tennis Club | Perth,10/12/2022,2022 Junior Club Championships
"[{'ages': ['Open', '7-8', '8-9', '9-10', '10-11', '11-12'], 'name': None}]",11/12/2022,Royal Pacific Tennis | Woodville,10/12/2022,"2022 Lil' Jo Adelaide Regional Qualifier (Verified UTR for Juniors 8,9,10,11,12)"
"[{'name': 'Junior', 'ages': ['-10', '-12', '-14', '-16']}]",11/12/2022,Tennis SA | Whyalla Norrie,10/12/2022,2022 Whyalla Junior Series
"[{'name': 'Junior', 'ages': ['10-18', '99+']}]",11/12/2022,Tennis West | Burswood,10/12/2022,2022 Yonex Kent Yamazaki Team Championship
"[{'name': 'Junior', 'ages': []}, {'name': 'U12', 'ages': ['-11']}, {'name': 'U14', 'ages': ['-11', '-13']}, {'name': 'U16', 'ages': ['-15']}, {'name': 'U18', 'ages': ['-17']}]",14/12/2022,Tennis Queensland | TBC,10/12/2022,2022 Junior Teams Carnival &  Roy Emerson Junior Premier Series (Closed)
"[{'name': None, 'ages': []}]",14/12/2022,Tennis Australia | St Lucia,10/12/2022,2022 QLD Junior Teams Carnival - Teams Rounds
"[{'ages': ['-18'], 'name': None}]",11/12/2022,Warrnambool Lawn | Warrnambool,11/12/2022,2022 Junior UTR Tournament Series - December
"[{'ages': ['-10', '-11', '-14', '-17'], 'name': None}]",11/12/2022,Jason Todd | Gawler,11/12/2022,2022 Just 4 Tennis Summer 22-23 JDS 2
"[{'ages': ['-10', '-12', '-14', '-16'], 'name': None}]",11/12/2022,Kadina Tennis Club | Kadina,11/12/2022,2022 Kadina JDS
"[{'name': 'Junior', 'ages': ['-10', '-12', '-14', '-16', '-18']}]",11/12/2022,Lucindale Tennis Club | Lucindale,11/12/2022,2022 South East Tennis Association Junior Singles
"[{'name': 'Junior', 'ages': []}, {'name': 'U16', 'ages': ['13-16']}]",17/12/2022,Tennis Australia | Melbourne,11/12/2022,2022 16u Australian Championships
"[{'name': 'Junior', 'ages': []}, {'name': 'U12', 'ages': ['10-12']}, {'name': 'U14', 'ages': ['13-14']}]",18/12/2022,Tennis SA | Colonel Light Gardens,11/12/2022,2022 SA Qualifying - National Grasscourt Championships (Closed)
"[{'name': 'Junior', 'ages': []}, {'name': 'U12', 'ages': ['10-12']}]",17/12/2022,Tennis Australia | Melbourne,12/12/2022,2022 12u Australian Invitational Masters
"[{'name': 'Open', 'ages': []}, {'name': 'Open', 'ages': ['13+']}]",18/12/2022,Beenleigh Tennis Centre | Beenleigh,15/12/2022,2022 Beenleigh (Formerly TennisGear) Open Series
"[{'name': 'Junior', 'ages': []}, {'name': 'U12', 'ages': ['-12', '-14']}, {'name': 'U14', 'ages': ['-14']}, {'name': 'U16', 'ages': ['-16']}, {'name': 'Junior', 'ages': ['-10']}]",18/12/2022,Griffith University Tennis Centre | Mount Gravatt ,15/12/2022,2022 Griffith University Junior Series
"[{'name': 'Open', 'ages': ['Open', '-10', '-12', '-14', '-16']}]",19/12/2022,Coffs Harbour and District Tennis Assn. | Coffs Harbour,16/12/2022,2022 42nd C.ex Coffs Northern NSW Tennis Championships
"[{'name': 'Open', 'ages': ['-14', '7-10', '10+', '12+', '13+']}, {'name': 'U12', 'ages': ['-12']}, {'name': 'U14', 'ages': ['-14']}, {'name': 'U16', 'ages': ['-16']}, {'name': 'Open', 'ages': ['13+']}]",19/12/2022,Bathurst Tennis Centre | Bathurst,16/12/2022,2022 Bathurst Summer Open and Junior Event
"[{'name': 'Junior', 'ages': ['-13', '-18']}]",19/12/2022,East Fremantle Lawn Tennis Club | East Fremantle,16/12/2022,2022 East Fremantle Junior Classic
"[{'name': 'Junior', 'ages': []}]",17/12/2022,Domain Tennis Club | Hobart,17/12/2022,2022 Domain JDS Term 4
"[{'name': 'Other', 'ages': []}]",17/12/2022,Hume Tennis and Community Centre | Craigieburn,17/12/2022,2022 My First Tournament #10 XMAS BREAKUP
"[{'name': 'Junior', 'ages': []}, {'name': 'U12', 'ages': ['10-12']}, {'name': 'U14', 'ages': ['13-14']}]",18/12/2022,Tennis ACT | Lyneham,17/12/2022,2022 ACT Qualifying - National Grasscourt Championships (Closed)
"[{'name': 'Seniors', 'ages': ['30+', '40+', '50+', '60+', '70+']}]",18/12/2022,Tennis West | Perth,17/12/2022,2022 WA State Seniors Titles
"[{'name': 'Junior', 'ages': ['-13']}, {'name': 'Junior', 'ages': ['-10', '-13', '-16']}]",21/12/2022,Frankston Centenary Tennis Club | Frankston North,17/12/2022,2022 FCTC December Showdown
"[{'name': 'Junior', 'ages': ['-8', '-10']}, {'name': 'U12', 'ages': ['-12']}, {'name': 'U14', 'ages': ['-14']}, {'name': 'U16', 'ages': ['Open', '-16']}]",21/12/2022,Boroondara TC | North Balwyn,17/12/2022,2022 HEAD Schoolboys & Schoolgirls Championships
"[{'name': 'Junior', 'ages': []}]",18/12/2022,Jason Todd | Para Hills,18/12/2022,2022 Just 4 Tennis Summer 22-23 JDS 3
"[{'ages': [], 'name': None}]",18/12/2022,UWA Tennis Club | Perth,18/12/2022,UWA Junior Challenge #2
"[{'name': 'Junior', 'ages': ['-10']}, {'name': 'Open', 'ages': ['12+']}, {'name': 'Junior', 'ages': ['-18']}]",22/12/2022,Happy Valley Tennis Club | Aberfoyle Park,19/12/2022,2022 CentreCourtTennis December Championships
"[{'name': 'Junior', 'ages': []}, {'name': 'U12', 'ages': ['-12']}, {'name': 'U14', 'ages': ['-14']}, {'name': 'U16', 'ages': ['-16']}, {'name': 'Junior', 'ages': ['-10']}]",22/12/2022,University of Queensland Tennis Centre | St Lucia,19/12/2022,2022 UQ Sport Junior Series
"[{'name': 'Open', 'ages': []}, {'name': 'U18', 'ages': ['-18']}, {'name': 'Open', 'ages': ['13+']}]",23/12/2022,Ballarat Regional Tennis Centre | Wendouree,19/12/2022,2022 Ballarat Open Signature and Junior Series
"[{'name': 'Other', 'ages': []}]",22/12/2022,Hume Tennis and Community Centre | Craigieburn,20/12/2022,2022 Pre Christmas training camp + UTR Match Play
"[{'name': 'Junior', 'ages': []}, {'name': 'U12', 'ages': ['-12']}, {'name': 'U14', 'ages': ['-14']}, {'name': 'U16', 'ages': []}]",22/12/2022,Shoalhaven Disrict Tennis Association | Bomaderry,20/12/2022,2022 Shoalhaven Junior Event
"[{'name': 'Junior', 'ages': ['-13', '6-13', '6-18']}]",23/12/2022,Robertson Park Tennis Centre | Perth,20/12/2022,2022 Robertson Park Junior
"[{'ages': [], 'name': None}]",21/12/2022,UWA Tennis Club | Perth,21/12/2022,UWA Junior Challenge #3
"[{'ages': ['10-13', '12-15'], 'name': None}]",22/12/2022,Tennis New South Wales | Marsfield,21/12/2022,2022 NSW Junior State Masters
"[{'name': 'Junior', 'ages': ['-18']}, {'name': 'Junior', 'ages': ['-18']}]",23/12/2022,Essendon Tennis Club | Essendon,21/12/2022,2022 Essendon JDS
"[{'name': 'Junior', 'ages': []}]",23/12/2022,Eaglemont | East Ivanhoe,22/12/2022,2022 Yarra Tennis December Round Robin event
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",23/12/2022,Elite Tennis Academy | Mornington,23/12/2022,2022 Mornington Christmas Junior Tournament (Verified UTR Event)
"[{'name': 'Open', 'ages': []}, {'name': 'Open', 'ages': []}]",28/12/2022,Sunshine Coast Regional Tennis Centre â€“ Caloundra | Caloundra,26/12/2022,2022 Elite Tennis International Boxing Day Open Series
"[{'name': 'Open', 'ages': ['13+', '40+', '45+']}, {'name': 'Open', 'ages': []}]",31/12/2022,Manly Lawn Tennis Club | Manly,26/12/2022,2022 Clarke & Humel Manly Seaside
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",29/12/2022,Caroline Springs Tennis Club | Caroline Springs,27/12/2022,2022 B. Sports Junior Championships #1
"[{'name': 'Junior', 'ages': []}, {'name': 'U12', 'ages': ['-12']}, {'name': 'U14', 'ages': ['-14']}, {'name': 'U16', 'ages': ['-16']}, {'name': 'U18', 'ages': []}]",29/12/2022,Dingley TC | DINGLEY VILLAGE,27/12/2022,2022 Dingley End of Year Classic
"[{'name': 'Junior', 'ages': ['-9', '-10', '10+', '12+']}, {'name': 'U12', 'ages': ['-12']}, {'name': 'U14', 'ages': ['-14']}, {'name': 'U16', 'ages': ['-16']}, {'name': 'Open', 'ages': []}]",30/12/2022,Jason Todd | Banksia Park,27/12/2022,2022 Just 4 Tennis New Years Open
"[{'name': 'Open', 'ages': ['-10', '-17']}, {'name': 'Open', 'ages': []}]",31/12/2022,Hume Tennis and Community Centre | Craigieburn,27/12/2022,2022 Hume Tennis & Community Centre Open Signature Event
"[{'name': 'Open', 'ages': ['-10', '-12', '-14', '-16', '-18']}, {'name': 'Open', 'ages': []}]",31/12/2022,Elite Tennis Academy | MORNINGTON,27/12/2022,"2022 Mornington Junior & Open Zone Event #2 ($3,000)"
"[{'name': 'Open', 'ages': ['Open', '-10']}, {'name': 'U12', 'ages': ['-12']}, {'name': 'U14', 'ages': ['-14']}, {'name': 'U16', 'ages': ['-16']}, {'name': 'Open', 'ages': []}]",31/12/2022,Illawarra Tennis Association | Rockdale,27/12/2022,2022 Rockdale December Open & JT
"[{'name': 'Open', 'ages': []}]",31/12/2022,Mt Lawley Tennis Club | Inglewood,27/12/2022,2022 WA State Grass Open & Junior Event
"[{'name': 'Junior', 'ages': ['Open', '-10', '-12', '-14', '-16', '-18']}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': []}]",31/12/2022,Warrnambool Lawn | Warrnambool,28/12/2022,2022 Warrnambool Grasscourt Championships
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",30/12/2022,Tennis Brisbane | REDLAND BAY,29/12/2022,2022 Metropolitan Development Series - Redland Bay / Sheldon College
"[{'name': 'Junior', 'ages': ['-12', '-14', '-18']}]",4/01/2023,Tennis Queensland | Brisbane,1/01/2023,2022 Road to Brisbane Finals
"[{'name': 'Open', 'ages': ['-8', '-9', '-10', '-11', '-13', '-15', '14+']}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': []}]",4/01/2023,Shepparton Lawn | Shepparton,1/01/2023,2023 Goulburn Valley Junior & Open Championships O3K J125
"[{'name': 'Other', 'ages': []}]",3/01/2023,Benalla Lawn Tennis Club | Benalla,2/01/2023,Benalla Lawn Tennis 2022
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",4/01/2023,South Perth Tennis Club | Como,2/01/2023,2023 JT Junior 125 South Perth
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",5/01/2023,Frankston Centenary Tennis Club | Frankston East,2/01/2023,2023 JT Junior 125 Frankston Centenary New Years Event
"[{'name': 'Open', 'ages': ['-10', '-12', '-14', '-16']}, {'name': 'Open', 'ages': []}]",5/01/2023,Hume Tennis and Community Centre | Craigieburn,2/01/2023,2023 Open 3K Hume Tennis Jan Event #1
"[{'name': 'Open', 'ages': ['Open', '-10', '13+']}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': []}]",8/01/2023,Ballina Tennis Club | Ballina,5/01/2023,2023 O3K J125 Ballina New Years Open
"[{'name': 'Junior', 'ages': []}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': []}]",8/01/2023,Sorrento Tennis Club | Perth,5/01/2023,2023 O3K J125 City of Joondalup Junior & Open Tennis Event
"[{'name': 'Junior', 'ages': ['10-12', '13-14']}, {'name': 'U12', 'ages': ['10-12']}, {'name': 'U14', 'ages': ['13-14']}]",9/01/2023,Tennis Australia | Wodonga,5/01/2023,2023 12u & 14u Australian Grasscourt Championships
"[{'name': 'Open', 'ages': ['-10', '-16']}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': []}]",9/01/2023,Albury Tennis Association | Albury,5/01/2023,2023 O3K  JP250 J125 Margaret Court Cup & Roche Series
"[{'name': 'Open', 'ages': ['16+']}, {'name': 'Junior', 'ages': ['-12', '-14', '-16', '-18']}]",8/01/2023,Tennis Victoria | Yarrawonga,6/01/2023,2023 OC JC 67th Inter-Regional Country Championships Victoria
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",9/01/2023,IMG Discovery Open | Carnegie,6/01/2023,2023 JT Junior 125 IMG Lauriston Event
"[{'name': 'Open', 'ages': []}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': []}]",9/01/2023,Elite Tennis Academy | Mornington,6/01/2023,2023 O3K J125 Mornington Open & Junior 16s #1
"[{'name': 'Other', 'ages': []}, {'name': 'Open', 'ages': ['16+']}, {'name': 'Junior', 'ages': []}]",9/01/2023,Tennis SA | Kensington Gardens,9/01/2023,2023 OC JC Country Carnival
"[{'name': 'Junior', 'ages': []}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': []}]",12/01/2023,Alexander Park Tennis Club | Perth,9/01/2023,2023 O3K J125 APTC Bendigo Bank Open & Junior Event
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",13/01/2023,Tennis Queensland | Caloundra,9/01/2023,2023 JT Premier 250 Mal Anderson Junior Championships
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",13/01/2023,Domain Tennis Club | Queens Domain,10/01/2023,2023 JT Premier 250 Tasmanian Junior Championships
